Year	Returns
2025-12-31	7.80%
2024-12-31	-1.64%
2023-12-31	3.88%
2022-12-31	-17.83%
2021-12-31	-4.42%
2020-12-31	11.33%
2019-12-31	9.64%
2018-12-31	-0.02%
2017-12-31	2.80%
2016-12-31	0.69%
2015-12-31	1.28%
2014-12-31	10.75%
2013-12-31	-9.10%
2012-12-31	2.97%
2011-12-31	16.04%
2010-12-31	8.46%
2009-12-31	-11.12%
2008-12-31	20.10%
2007-12-31	10.21%
2006-12-31	1.96%
2005-12-31	2.87%
2004-12-31	4.49%
2003-12-31	0.38%
2002-12-31	15.12%
2001-12-31	5.57%
2000-12-31	16.66%
1999-12-31	-8.25%
1998-12-31	14.92%
1997-12-31	9.94%
1996-12-31	1.43%
1995-12-31	23.48%
1994-12-31	-8.04%
1993-12-31	14.21%
1992-12-31	9.36%
1991-12-31	15.00%
1990-12-31	6.24%
1989-12-31	17.69%
1988-12-31	8.22%
1987-12-31	-4.96%
1986-12-31	24.28%
1985-12-31	25.71%
1984-12-31	13.73%
1983-12-31	3.20%
1982-12-31	32.81%
1981-12-31	8.20%
1980-12-31	-2.99%
1979-12-31	0.67%
1978-12-31	-0.78%
1977-12-31	1.29%
1976-12-31	15.98%
1975-12-31	3.61%
1974-12-31	1.99%
1973-12-31	3.66%
1972-12-31	2.82%
1971-12-31	9.79%
1970-12-31	16.75%
1969-12-31	-5.01%
1968-12-31	3.27%
1967-12-31	-1.58%
1966-12-31	2.91%
1965-12-31	0.72%
1964-12-31	3.73%
1963-12-31	1.68%
1962-12-31	5.69%
1961-12-31	2.06%
1960-12-31	11.64%
