Year    Returns
2026-12-31	-0.14%
2025-12-31	16.39%
2024-12-31	23.31%
2023-12-31	24.23%
2022-12-31	-19.44%
2021-12-31	26.89%
2020-12-31	16.26%
2019-12-31	28.88%
2018-12-31	-6.24%
2017-12-31	19.42%
2016-12-31	9.54%
2015-12-31	-0.73%
2014-12-31	11.39%
2013-12-31	29.60%
2012-12-31	13.41%
2011-12-31	0.00%
2010-12-31	12.78%
2009-12-31	23.45%
2008-12-31	-38.49%
2007-12-31	3.53%
2006-12-31	13.62%
2005-12-31	3.00%
2004-12-31	8.99%
2003-12-31	26.38%
2002-12-31	-23.37%
2001-12-31	-13.04%
2000-12-31	-10.14%
1999-12-31	19.53%
1998-12-31	26.67%
1997-12-31	31.01%
1996-12-31	20.26%
1995-12-31	34.11%
1994-12-31	-1.54%
1993-12-31	7.06%
1992-12-31	4.46%
1991-12-31	26.31%
1990-12-31	-6.56%
1989-12-31	27.25%
1988-12-31	12.40%
1987-12-31	2.03%
1986-12-31	14.62%
1985-12-31	26.33%
1984-12-31	1.40%
1983-12-31	17.27%
1982-12-31	14.76%
1981-12-31	-9.73%
1980-12-31	25.77%
1979-12-31	12.31%
1978-12-31	1.06%
1977-12-31	-11.50%
1976-12-31	19.15%
1975-12-31	31.55%
1974-12-31	-29.72%
1973-12-31	-17.37%
1972-12-31	15.63%
1971-12-31	10.79%
1970-12-31	0.10%
1969-12-31	-11.36%
1968-12-31	7.66%
1967-12-31	20.09%
1966-12-31	-13.09%
1965-12-31	9.06%
1964-12-31	12.97%
1963-12-31	18.89%
1962-12-31	-11.81%
1961-12-31	23.13%
1960-12-31	-2.97%
1959-12-31	8.48%
1958-12-31	38.06%
1957-12-31	-14.31%
1956-12-31	2.62%
1955-12-31	26.40%
1954-12-31	45.02%
1953-12-31	-6.62%
1952-12-31	11.78%
1951-12-31	16.46%
1950-12-31	21.78%
1949-12-31	18.79%
1948-12-31	5.50%
1947-12-31	5.71%
1946-12-31	-8.07%
1945-12-31	36.44%
1944-12-31	19.75%
1943-12-31	25.90%
1942-12-31	20.34%
1941-12-31	-11.59%
1940-12-31	-9.78%
1939-12-31	-0.41%
1938-12-31	31.12%
1937-12-31	-35.03%
1936-12-31	33.92%
1935-12-31	47.67%
1934-12-31	-1.44%
1933-12-31	46.59%
1932-12-31	-8.19%
1931-12-31	-43.84%
1930-12-31	-24.90%
1929-12-31	-8.42%
1928-12-31	43.61%
